"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3661","Absolutely @IndigoDaya @MartinFoleyMP #Livedexp #mentalhealth #consumers #carers as #cochairs should be a natural g… https://t.co/A6cgF4Mesi",FALSE,4,NA,2019-01-30 05:19:05,TRUE,NA,"1090479491703484416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ingioz",4,FALSE,FALSE,NA,NA
"3662","RT @RussellKennedy_: #AgedCare Alert: Royal Commission into Aged Care Quality and Safety – Next steps following Provider Survey, 30 Jan 201…",FALSE,0,NA,2019-01-30 05:08:18,FALSE,NA,"1090476778634633216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RKAgedCare",4,TRUE,FALSE,NA,NA
"3663","The final report from the Hayne banking Royal Commission will be provided to the Government on Friday. Adrian Verdn… https://t.co/yGprozZDuL",FALSE,2,NA,2019-01-30 05:02:54,TRUE,NA,"1090475416597524485",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","HallandWilcox",0,FALSE,FALSE,NA,NA
"3664","Will the #royalcommission be satisfied by the CIF's commission tweaks?
https://t.co/8jMcBoibpm",FALSE,0,NA,2019-01-30 04:23:05,FALSE,NA,"1090465398817021952",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","MPAMagazineAU",0,FALSE,FALSE,NA,NA
"3665","RT @VMIAC: VMIAC made a strong submission to the #MentalHealth #RoyalCommission terms of reference last week. Thank you to the many consume…",FALSE,0,NA,2019-01-30 03:53:19,FALSE,NA,"1090457908100227074",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AngstyRossini",15,TRUE,FALSE,NA,NA
"3666","RT @VMIAC: VMIAC made a strong submission to the #MentalHealth #RoyalCommission terms of reference last week. Thank you to the many consume…",FALSE,0,NA,2019-01-30 03:47:31,FALSE,NA,"1090456447043792896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IndigoDaya",15,TRUE,FALSE,NA,NA
"3667","RT @LesStonehouse: Thank you @JuliaGillard  Ex- Labor Prime Minister   ((Hero))  chopped down by @TonyAbbottMHR  extreme rwnj 

 #auspol #R…",FALSE,0,NA,2019-01-30 03:40:11,FALSE,NA,"1090454601592008704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","antiqueman99",226,TRUE,FALSE,NA,NA
"3668","@billshortenmp Well if you back every single recommendation of the #BankingRC then you will backing the banks! Line… https://t.co/aNzMPtA9zR",FALSE,0,"billshortenmp",2019-01-30 03:24:14,TRUE,"1090096802605367296","1090450587043344384","137198586","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MigrantPartyAu",0,FALSE,FALSE,NA,NA
"3669","RT @peacewithme2: @alexbhturnbull @PeterDutton_MP So...your saying after due diligence, forensic accounting, mandatory disclosures, regulat…",FALSE,0,NA,2019-01-30 02:21:22,FALSE,NA,"1090434768884269058",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JrehnJ",11,TRUE,FALSE,NA,NA
"3670","The #AFA is right. Advisers should brace for some tough news from the #royalcommission final report. https://t.co/wYVrtjfytZ",FALSE,0,NA,2019-01-30 01:53:36,FALSE,NA,"1090427777625407489",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","mmmiketaylor",0,FALSE,FALSE,NA,NA
